,0
327,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
328,Letter to the editor: a first-generation welcome
329,"Eddie Barrón, Student Body Senator"
330,"August 27, 2025"
331,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
332,MOVIE REVIEW: ‘Superman’
333,Aiden Williams
334,"July 21, 2025"
335,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
336,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
337,Andres F. Diaz
338,"July 2, 2025"
339,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
340,OPINION: The Harvard crackdown isn’t just about Harvard
341,Andres F. Diaz
342,"June 3, 2025"
343,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
344,OPINION: An ode to public libraries
345,Andres F. Diaz
346,"May 24, 2025"
347,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
348,OPINION: Weight loss drugs are drifting students away from real care
349,Zaina Jasser
350,"May 12, 2025"
351,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
352,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
353,Kelley Benson
354,"May 10, 2025"
355,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
356,OPINION: Independent theaters matter more than ever
357,Valeria Nalani
358,"May 10, 2025"
359,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
360,OPINION: Philanthropic organizations need to rethink their priorities
361,Ian Stash
362,"May 9, 2025"
363,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
364,OPINION: Gen Z is changing the idea of professionalism for the better
365,Ara Arellano
366,"May 9, 2025"
367,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
368,OPINION: Stan culture is toxic and not a healthy mindset to adopt
369,Isabel Vidrio
370,"May 8, 2025"
371,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
372,OPINION: We should trend towards embracing philosophy and faith
373,Zaina Jasser
374,"May 6, 2025"
375,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
376,OPINION: The noise environment at a university can be harmful to neurodivergent students
377,Isabel Vidrio
378,"May 6, 2025"
379,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
380,OPINION: True crime should be made for more than money and entertainment
381,Aiden Williams
382,"May 6, 2025"
383,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
384,OPINION: Can we please stop texting?
385,Fiona Sievert
386,"May 6, 2025"
387,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
388,OPINION: Encourage more street art in our community
389,Ian Stash
390,"April 30, 2025"
391,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
392,"OPINION: Lower graphics quality in video games? Yes, please"
393,Ian Stash
394,"April 30, 2025"
395,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
396,Arizona Arts Live presents Circa: Opus
397,Quentin S. Agnello
398,"April 22, 2025"
399,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
400,OPINION: AI is not the enemy of learning — outdated education standards are
401,Ara Arellano
402,"April 16, 2025"
403,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
404,OPINION: ‘Thoughts and prayers’ don’t save lives
405,Mason Kumet
406,"September 10, 2025"
407,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
408,Letter to the editor: a first-generation welcome
409,"Eddie Barrón, Student Body Senator"
410,"August 27, 2025"
411,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
412,MOVIE REVIEW: ‘Superman’
413,Aiden Williams
414,"July 21, 2025"
415,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
416,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
417,Andres F. Diaz
418,"July 2, 2025"
419,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
420,OPINION: The Harvard crackdown isn’t just about Harvard
421,Andres F. Diaz
422,"June 3, 2025"
423,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
424,OPINION: An ode to public libraries
425,Andres F. Diaz
426,"May 24, 2025"
427,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
428,OPINION: Weight loss drugs are drifting students away from real care
429,Zaina Jasser
430,"May 12, 2025"
431,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
432,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
433,Kelley Benson
434,"May 10, 2025"
435,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
436,OPINION: Independent theaters matter more than ever
437,Valeria Nalani
438,"May 10, 2025"
439,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
440,OPINION: Philanthropic organizations need to rethink their priorities
441,Ian Stash
442,"May 9, 2025"
443,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
444,OPINION: Gen Z is changing the idea of professionalism for the better
445,Ara Arellano
446,"May 9, 2025"
447,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
448,OPINION: Stan culture is toxic and not a healthy mindset to adopt
449,Isabel Vidrio
450,"May 8, 2025"
451,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
452,OPINION: We should trend towards embracing philosophy and faith
453,Zaina Jasser
454,"May 6, 2025"
455,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
456,OPINION: The noise environment at a university can be harmful to neurodivergent students
457,Isabel Vidrio
458,"May 6, 2025"
459,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
460,OPINION: True crime should be made for more than money and entertainment
461,Aiden Williams
462,"May 6, 2025"
463,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
464,OPINION: Can we please stop texting?
465,Fiona Sievert
466,"May 6, 2025"
467,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
468,OPINION: Encourage more street art in our community
469,Ian Stash
470,"April 30, 2025"
471,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
472,"OPINION: Lower graphics quality in video games? Yes, please"
473,Ian Stash
474,"April 30, 2025"
475,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
476,Arizona Arts Live presents Circa: Opus
477,Quentin S. Agnello
478,"April 22, 2025"
479,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
480,OPINION: AI is not the enemy of learning — outdated education standards are
481,Ara Arellano
482,"April 16, 2025"
483,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
484,OPINION: ‘Thoughts and prayers’ don’t save lives
485,Mason Kumet
486,"September 10, 2025"
487,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
488,Letter to the editor: a first-generation welcome
489,"Eddie Barrón, Student Body Senator"
490,"August 27, 2025"
491,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
492,MOVIE REVIEW: ‘Superman’
493,Aiden Williams
494,"July 21, 2025"
495,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
496,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
497,Andres F. Diaz
498,"July 2, 2025"
499,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
500,OPINION: The Harvard crackdown isn’t just about Harvard
501,Andres F. Diaz
502,"June 3, 2025"
503,"OPINION: The Harvard crackdown isn’t just about HarvardAndres F. DiazJune 3, 2025"
504,OPINION: An ode to public libraries
505,Andres F. Diaz
506,"May 24, 2025"
507,"OPINION: An ode to public librariesAndres F. DiazMay 24, 2025"
508,OPINION: Weight loss drugs are drifting students away from real care
509,Zaina Jasser
510,"May 12, 2025"
511,"OPINION: Weight loss drugs are drifting students away from real careZaina JasserMay 12, 2025"
512,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attention"
513,Kelley Benson
514,"May 10, 2025"
515,"GUEST OPINION: If you think President Trump cares about the middle class, you’re not paying attentionKelley BensonMay 10, 2025"
516,OPINION: Independent theaters matter more than ever
517,Valeria Nalani
518,"May 10, 2025"
519,"OPINION: Independent theaters matter more than everValeria NalaniMay 10, 2025"
520,OPINION: Philanthropic organizations need to rethink their priorities
521,Ian Stash
522,"May 9, 2025"
523,"OPINION: Philanthropic organizations need to rethink their prioritiesIan StashMay 9, 2025"
524,OPINION: Gen Z is changing the idea of professionalism for the better
525,Ara Arellano
526,"May 9, 2025"
527,"OPINION: Gen Z is changing the idea of professionalism for the betterAra ArellanoMay 9, 2025"
528,OPINION: Stan culture is toxic and not a healthy mindset to adopt
529,Isabel Vidrio
530,"May 8, 2025"
531,"OPINION: Stan culture is toxic and not a healthy mindset to adoptIsabel VidrioMay 8, 2025"
532,OPINION: We should trend towards embracing philosophy and faith
533,Zaina Jasser
534,"May 6, 2025"
535,"OPINION: We should trend towards embracing philosophy and faithZaina JasserMay 6, 2025"
536,OPINION: The noise environment at a university can be harmful to neurodivergent students
537,Isabel Vidrio
538,"May 6, 2025"
539,"OPINION: The noise environment at a university can be harmful to neurodivergent studentsIsabel VidrioMay 6, 2025"
540,OPINION: True crime should be made for more than money and entertainment
541,Aiden Williams
542,"May 6, 2025"
543,"OPINION: True crime should be made for more than money and entertainmentAiden WilliamsMay 6, 2025"
544,OPINION: Can we please stop texting?
545,Fiona Sievert
546,"May 6, 2025"
547,"OPINION: Can we please stop texting?Fiona SievertMay 6, 2025"
548,OPINION: Encourage more street art in our community
549,Ian Stash
550,"April 30, 2025"
551,"OPINION: Encourage more street art in our communityIan StashApril 30, 2025"
552,"OPINION: Lower graphics quality in video games? Yes, please"
553,Ian Stash
554,"April 30, 2025"
555,"OPINION: Lower graphics quality in video games? Yes, pleaseIan StashApril 30, 2025"
556,Arizona Arts Live presents Circa: Opus
557,Quentin S. Agnello
558,"April 22, 2025"
559,"Arizona Arts Live presents Circa: OpusQuentin S. AgnelloApril 22, 2025"
560,OPINION: AI is not the enemy of learning — outdated education standards are
561,Ara Arellano
562,"April 16, 2025"
563,"OPINION: AI is not the enemy of learning — outdated education standards areAra ArellanoApril 16, 2025"
564,OPINION: ‘Thoughts and prayers’ don’t save lives
565,Mason Kumet
566,"September 10, 2025"
567,"OPINION: ‘Thoughts and prayers’ don’t save livesMason KumetSeptember 10, 2025"
568,Letter to the editor: a first-generation welcome
569,"Eddie Barrón, Student Body Senator"
570,"August 27, 2025"
571,"Letter to the editor: a first-generation welcomeEddie Barrón, Student Body SenatorAugust 27, 2025"
572,MOVIE REVIEW: ‘Superman’
573,Aiden Williams
574,"July 21, 2025"
575,"MOVIE REVIEW: ‘Superman’Aiden WilliamsJuly 21, 2025"
576,OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak Gurnah
577,Andres F. Diaz
578,"July 2, 2025"
579,"OPINION: Coming of age in a colonized world: A review of “Paradise” by Abdulrazak GurnahAndres F. DiazJuly 2, 2025"
